Profit,CurrentTPS,CurrentTokens,TokensUsed,TransactionsUpgraded
1000.00,10960.00,0.00,1000.00,0
1000.00,11059.00,0.00,1000.00,0
1000.00,11101.00,0.00,1000.00,0
1317.50,11106.00,0.00,1000.00,635
1314.50,11112.00,0.00,1000.00,629
1337.50,11117.00,0.00,1000.00,675
1339.00,11120.00,0.00,1000.00,678
1337.00,11145.00,0.00,1000.00,674
1336.50,10945.00,0.00,1000.00,673
1347.50,11042.00,0.00,1000.00,695
1352.50,11000.00,0.00,1000.00,705
1345.00,11133.00,0.00,1000.00,690
1346.00,11088.00,0.00,1000.00,692
1345.00,10962.00,0.00,1000.00,690
1000.00,10857.00,0.00,1000.00,0
1000.00,11038.00,0.00,1000.00,0
1000.00,11033.00,0.00,1000.00,0
1000.00,11004.00,0.00,1000.00,0
1000.00,11162.00,0.00,1000.00,0
1359.00,11000.00,0.00,1000.00,718
1340.00,11170.00,0.00,1000.00,680
1356.50,10997.00,0.00,1000.00,713
1335.50,10994.00,0.00,1000.00,671
1000.00,10995.00,0.00,1000.00,0
1361.50,11175.00,0.00,1000.00,723
1349.00,11175.00,0.00,1000.00,698
1352.50,11000.00,0.00,1000.00,705
1340.50,11019.00,0.00,1000.00,681
1340.00,10858.00,0.00,1000.00,680
1000.00,10860.00,0.00,1000.00,0
1000.00,11005.00,0.00,1000.00,0
1000.00,11043.00,0.00,1000.00,0
1000.00,10996.00,0.00,1000.00,0
1000.00,11169.00,0.00,1000.00,0
1000.00,11169.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1331.00,11133.00,0.00,1000.00,662
1326.50,10998.00,0.00,1000.00,653
1000.00,11003.00,0.00,1000.00,0
1324.50,11133.00,0.00,1000.00,649
1314.50,11172.00,0.00,1000.00,629
1317.50,11000.00,0.00,1000.00,635
1322.50,11175.00,0.00,1000.00,645
1319.00,11175.00,0.00,1000.00,638
1317.50,11000.00,0.00,1000.00,635
1320.00,11009.00,0.00,1000.00,640
1000.00,11042.00,0.00,1000.00,0
1000.00,11163.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1313.50,11177.00,0.00,1000.00,627
1302.50,11000.00,0.00,1000.00,605
1301.50,11180.00,0.00,1000.00,603
1307.00,11217.00,0.00,1000.00,614
1309.00,11011.00,0.00,1000.00,618
1320.50,11005.00,0.00,1000.00,641
1000.00,11039.00,0.00,1000.00,0
1000.00,11040.00,0.00,1000.00,0
1000.00,10899.00,0.00,1000.00,0
1000.00,11041.00,0.00,1000.00,0
1000.00,11169.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11030.00,0.00,1000.00,0
1000.00,11060.00,0.00,1000.00,0
1000.00,11033.00,0.00,1000.00,0
1000.00,11177.00,0.00,1000.00,0
1000.00,11178.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11056.00,0.00,1000.00,0
1000.00,11036.00,0.00,1000.00,0
1000.00,11037.00,0.00,1000.00,0
1000.00,10898.00,0.00,1000.00,0
1000.00,11037.00,0.00,1000.00,0
1000.00,11056.00,0.00,1000.00,0
1000.00,10896.00,0.00,1000.00,0
1000.00,11041.00,0.00,1000.00,0
1000.00,11000.00,0.00,1000.00,0
1000.00,11038.00,0.00,1000.00,0
1000.00,11059.00,0.00,1000.00,0
1000.00,11038.00,0.00,1000.00,0
1000.00,10902.00,0.00,1000.00,0
1000.00,11180.00,0.00,1000.00,0
1000.00,11180.00,0.00,1000.00,0
1000.00,11060.00,0.00,1000.00,0
1000.00,11220.00,0.00,1000.00,0
1000.00,11030.00,0.00,1000.00,0
1000.00,10896.00,0.00,1000.00,0
1000.00,10903.00,0.00,1000.00,0
1000.00,11058.00,0.00,1000.00,0
1000.00,10899.00,0.00,1000.00,0
1000.00,11039.00,0.00,1000.00,0
